position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Governor,Mike Huckabee,Q158813,1996-07-15,2007-01-09,male,1955-08-24,,Mike Huckabee by Gage Skidmore 2.jpg,Mike Huckabee
Governor,Mike Beebe,Q361460,2007-01-09,2015-01-13,male,1946-12-28,,Governor Mike Beebe.jpg,Mike Beebe
Governor,Asa Hutchinson,Q720121,2015-01-13,,male,1950-12-03,,Asa Hutchinson crop.jpg,Asa Hutchinson
Lieutenant Governor,Timothy Griffin,Q2435200,2015,,male,1968-08-21,,Rep Tim Griffin Official Photo.jpg,Tim Griffin
Secretary of State,Charlie Daniels,Q5084757,2003,2011,male,1939-12-07,,,Charlie Daniels (politician)
Secretary of State,Mark Martin,Q16200207,2011-01,2019-01-15,male,1968-02-18,,,Mark Martin (politician)
Secretary of State,John Thurston,Q21258911,2019-01-15,,male,1973,,,John Thurston (politician)
Secretary of the Department of Agriculture,Wes Ward,Q108268189,2019-05-22,,male,,,,
Secretary of the Department of Commerce,Mike Preston,Q108268361,2019-05-22,,male,,,,
Secretary of the Department of Corrections,Wendy Kelley,Q108268512,2019-05-22,2020-07-23,,,,,
Secretary of the Department of Corrections,Solomon Graves,Q108268326,2020-07-23,,male,,,,
Secretary of the Department of Education,Johnny Key,Q108268332,2019-05-22,,male,,,,
Secretary of the Department of Energy and Environment,Becky Keogh,Q108268306,2019-05-22,,female,,,,
Secretary of the Department of Finance and Administration,Larry Walther,Q108268347,2019-05-22,,male,,,,
Secretary of the Department of Health,Nathaniel Smith,Q108268521,2019-05-22,2020-08-28,,,,,
Secretary of the Department of Health,José R. Romero,Q108268353,2020-08-28,2022-05-05,male,,,,
Secretary of the Department of Health,Renee Mallory,Q111976501,2022-05-05,,,,,,
Secretary of the Department of Human Services,Cindy Gillespie,Q108268340,2019-05-22,,female,,,,
Secretary of the Department of Inspector General,Elizabeth Thomas Smith,Q108268368,2019-05-22,,female,,,,
Secretary of the Department of Labor and Licensing,Daryl Bassett,Q108268377,2019-05-22,,male,,,,
"Secretary of the Department of Parks, Heritage, and Tourism",Stacy Hurst,Q108268215,2019-05-22,,female,,,,
Secretary of the Department of Public Safety,Jami Cook,Q108268357,2019-05-22,,female,,,,
Secretary of the Department of the Military,Mark H. Berry,Q108268529,2019-05-22,2019-07-03,,,,,
Secretary of the Department of the Military,Kendall W. Penn,Q108268364,2019-07-03,,male,,,,
Secretary of the Department of Transformation and Shared Services,Amy Fecher,Q108268383,2019-05-22,2022-06-20,female,,,,
Secretary of the Department of Transformation and Shared Services,Mitch Rouse,Q112911945,2022-06-20,,male,,,,
Secretary of the Department of Veterans Affairs,Nate Todd,Q108268359,2019-05-22,,male,,,,
State Auditor,Charlie Daniels,Q5084757,2011-01-03,2015-01-13,male,1939-12-07,,,Charlie Daniels (politician)
State Auditor,Andrea Lea,Q16189363,2015-01-13,,female,1957,,,Andrea Lea
Attorney General,Mark Pryor,Q470755,1999-01-12,2003-01-03,male,1963-01-10,,"Mark Pryor, head and shoulders photo portrait with flag, 2006.jpg",Mark Pryor
Attorney General,Leslie Rutledge,Q18631237,2015-01-13,,female,1976-06-09,,Leslie Rutledge (25475720912) (1).jpg,Leslie Rutledge
Commissioner of State Lands,Charlie Daniels,Q5084757,1985,2003,male,1939-12-07,,,Charlie Daniels (politician)
Commissioner of State Lands,Mark Wilcox,Q6770332,2003-01-14,2011-01-11,male,,,,Mark Wilcox
Commissioner of State Lands,John Thurston,Q21258911,2011-01-11,2019-01-15,male,1973,,,John Thurston (politician)
Commissioner of State Lands,Tommy Land,Q58755305,2019-01-15,,male,1955-08-18,,,Tommy Land
Speaker of the House of Representatives,Matthew Shepherd,Q6791218,2018-06-15,,male,1976-02-21,,,Matthew Shepherd
Chief Justice,Betty Dickey,Q67168428,2004-01,2006-12,female,1940,,,Betty Dickey
Chief Justice,James Hannah,Q16225149,2005,2015-09-01,male,1945,2016-01-14,,Jim Hannah
