wanted,position,positionid,from,start,end
Q102039059,Arkansas state senator,Q21361754,Q109228915,2021-01-11,
Q16727960,Arkansas state senator,Q21361754,Q110529618,2021-01-11,
Q20630813,Arkansas state senator,Q21361754,Q27662996,2021-01-11,
Q108268529,Secretary of the Department of Health,Q108268354,Q108268353,2020-08-28,2022-05-05
Q16731528,Arkansas state senator,Q21361754,Q16217413,2019-01,
Q16199836,Arkansas state senator,Q21361754,Q16164110,2019,
Q20050607,Arkansas state senator,Q21361754,Q108649610,2018-06-19,
Q5336163,Arkansas state senator,Q21361754,Q109282551,2018-06-19,
Q16215788,Speaker of the House of Representatives,Q91581162,Q6791218,2018-06-15,
Q16734517,Arkansas state senator,Q21361754,Q108667116,2017,
Q5317123,Attorney General,Q4112147,Q18631237,2015-01-13,
Q16728762,Arkansas state representative,Q19681513,Q27662996,2015-01,2019-01
Q16732360,Arkansas state representative,Q19681513,Q20643217,2015-01,2019-01
Q5259150,Arkansas state representative,Q19681513,Q19818406,2015-01,2019-01-14
Q5336163,Arkansas state senator,Q21361754,Q16208748,2013-01-15,
Q5531274,Arkansas state senator,Q21361754,Q16729027,2013-01-14,
Q5560774,Arkansas state senator,Q21361754,Q16727985,2013-01-14,
Q7344222,Arkansas state senator,Q21361754,Q16196505,2013-01-14,
Q7292292,Arkansas state senator,Q21361754,Q16195112,2013-01,
Q16885860,Arkansas state representative,Q19681513,Q16186443,2013,2015-01
Q18688053,Arkansas state senator,Q21361754,Q16208748,2011-01-10,2013-01-15
Q4932946,Arkansas state senator,Q21361754,Q16214143,2011-01-10,2013-01-15
Q6199023,State Auditor,Q4791868,Q5084757,2011-01-03,2015-01-13
Q64484558,Arkansas state representative,Q19681513,Q16886405,2011-01-01,2019-10-28
Q16751197,Arkansas state senator,Q21361754,Q16729027,2011-01,2013-01-14
Q7831853,Arkansas state senator,Q21361754,Q16727985,2011-01,2013-01-14
Q7498680,Arkansas state representative,Q19681513,Q16186443,2009-01,2013-01
Q65659330,Chief Justice,Q111010414,Q67168428,2004-01,2006-12
Q73197941,Secretary of State,Q17089716,Q5084757,2003,2011
